Brew_ID,Name,City,State,Region
1,NorthGate Brewing ,Minneapolis, MN,MIDWEST
2,Against the Grain Brewery,Louisville, KY,SOUTH
3,Jack's Abby Craft Lagers,Framingham, MA,NORTHEAST
4,Mike Hess Brewing Company,San Diego, CA,WEST
5,Fort Point Beer Company,San Francisco, CA,WEST
6,COAST Brewing Company,Charleston, SC,SOUTH
7,Great Divide Brewing Company,Denver, CO,WEST
8,Tapistry Brewing,Bridgman, MI,MIDWEST
9,Big Lake Brewing,Holland, MI,MIDWEST
10,The Mitten Brewing Company,Grand Rapids, MI,MIDWEST
11,Brewery Vivant,Grand Rapids, MI,MIDWEST
12,Petoskey Brewing,Petoskey, MI,MIDWEST
13,Blackrocks Brewery,Marquette, MI,MIDWEST
14,Perrin Brewing Company,Comstock Park, MI,MIDWEST
15,Witch's Hat Brewing Company,South Lyon, MI,MIDWEST
16,Founders Brewing Company,Grand Rapids, MI,MIDWEST
17,Flat 12 Bierwerks,Indianapolis, IN,MIDWEST
18,Tin Man Brewing Company,Evansville, IN,MIDWEST
19,Black Acre Brewing Co.,Indianapolis, IN,MIDWEST
20,Brew Link Brewing,Plainfield, IN,MIDWEST
21,Bare Hands Brewery,Granger, IN,MIDWEST
22,Three Pints Brewing,Martinsville, IN,MIDWEST
23,Four Fathers Brewing ,Valparaiso, IN,MIDWEST
24,Indiana City Brewing,Indianapolis, IN,MIDWEST
25,Burn 'Em Brewing,Michigan City, IN,MIDWEST
26,Sun King Brewing Company,Indianapolis, IN,MIDWEST
27,Evil Czech Brewery,Mishawaka, IN,MIDWEST
28,450 North Brewing Company,Columbus, IN,MIDWEST
29,Taxman Brewing Company,Bargersville, IN,MIDWEST
30,Cedar Creek Brewery,Seven Points, TX,SOUTH
31,SanTan Brewing Company,Chandler, AZ,WEST
32,Boulevard Brewing Company,Kansas City, MO,MIDWEST
33,James Page Brewing Company,Stevens Point, WI,MIDWEST
34,The Dudes' Brewing Company,Torrance, CA,WEST
35,Ballast Point Brewing Company,San Diego, CA,WEST
36,Anchor Brewing Company,San Francisco, CA,WEST
37,Figueroa Mountain Brewing Company,Buellton, CA,WEST
38,Avery Brewing Company,Boulder, CO,WEST
39,Twisted X Brewing Company,Dripping Springs, TX,SOUTH
40,Gonzo's BiggDogg Brewing,Kalamazoo, MI,MIDWEST
41,Big Muddy Brewing,Murphysboro, IL,MIDWEST
42,Lost Nation Brewing,East Fairfield, VT,NORTHEAST
43,Rising Tide Brewing Company,Portland, ME,NORTHEAST
44,Rivertowne Brewing Company,Export, PA,NORTHEAST
45,Revolution Brewing Company,Chicago, IL,MIDWEST
46,Tallgrass Brewing Company,Manhattan, KS,MIDWEST
47,Sixpoint Craft Ales,Brooklyn, NY,NORTHEAST
48,White Birch Brewing,Hooksett, NH,NORTHEAST
49,Firestone Walker Brewing Company,Paso Robles, CA,WEST
50,SweetWater Brewing Company,Atlanta, GA,SOUTH
51,Flying Mouse Brewery,Troutville, VA,SOUTH
52,Upslope Brewing Company,Boulder, CO,WEST
53,Pipeworks Brewing Company,Chicago, IL,MIDWEST
54,Bent Brewstillery,Roseville, MN,MIDWEST
55,Flesk Brewing Company,Lombard, IL,MIDWEST
56,Pollyanna Brewing Company,Lemont, IL,MIDWEST
57,BuckleDown Brewing,Lyons, IL,MIDWEST
