State,City,Lat,Long
AL,Birmingham,33.456412,-86.801904
AL,Gadsden,34.024285,-86.074145
AL,Huntsville,34.718428,-86.556439
AR,Rogers,36.355417,-94.181568
AR,Springdale,36.16722,-94.240112
AZ,Chandler,33.298461,-111.85062
AZ,Flagstaff,35.932116,-111.597853
AZ,Lake Havasu City,34.500556,-114.310294
AZ,Phoenix,33.703967,-112.351835
AZ,Prescott,34.620826,-112.567165
AZ,Tempe,33.401395,-111.931298
AZ,Tucson,32.217975,-110.970869
AZ,Williams,35.915563,-112.366031
CA,Belmont,37.516644,-122.29339
CA,Boonville,39.046943,-123.418728
CA,Buellton,34.635927,-120.201469
CA,Carlsbad,33.016928,-116.846046
CA,Chico,39.746159,-121.840083
CA,Claremont,33.786594,-118.298662
CA,Diamond Springs,38.629821,-120.820021
CA,Half Moon Bay,37.389057,-122.415566
CA,Los Angeles,33.973951,-118.248405
CA,Mammoth Lakes,37.609434,-118.865636
CA,Mill Valley,37.886325,-122.562937
CA,Paso Robles,35.640598,-120.700313
CA,Redlands,34.2409,-116.889474
CA,Sacramento,38.380456,-121.555406
CA,San Diego,32.7211,-117.174366
CA,San Francisco,37.784827,-122.727802
CA,San Luis Obispo,35.265573,-120.62122
CA,Santa Cruz,37.052748,-122.111126
CA,Santee,32.843956,-116.994511
CA,South San Francisco,37.657443,-122.423483
CA,Temecula,33.752886,-116.055617
CA,Torrance,33.835665,-118.303805
CA,Ukiah,39.403699,-123.321202
CA,Vista,33.016928,-116.846046
CO,Arvada,39.522014,-105.223945
CO,Aspen,39.169324,-106.776744
CO,Aurora,39.715287,-104.84748
CO,Boulder,40.094787,-105.278083
CO,Broomfield,40.046064,-105.097151
CO,Buena Vista,38.885032,-106.179938
CO,Colorado Springs,38.861469,-104.857828
CO,Denver,39.726303,-104.856808
CO,Dillon,39.595212,-105.974117
CO,Dolores,37.469333,-108.35245
CO,Durango,37.318364,-107.880367
CO,Eagle,39.607401,-106.805111
CO,Edwards,39.638166,-106.620644
CO,Fort Collins,40.59227,-105.298344
CO,Golden,39.718539,-105.245659
CO,Greeley,40.384991,-104.680631
CO,Idaho Springs,39.706574,-105.541583
CO,Lone Tree,39.5365,-104.8971
CO,Longmont,40.165634,-105.1633
CO,Loveland,40.553704,-105.266415
CO,Lyons,40.189788,-105.35528
CO,Monument,39.086393,-104.807666
CO,Palisade,39.095369,-108.299254
CO,Paonia,38.877198,-107.609167
CO,Silverton,37.848391,-107.680381
CO,Telluride,37.983589,-107.956606
CO,Windsor,40.307972,-104.942467
CT,Bloomfield,41.851961,-72.738939
CT,East Windsor,41.903347,-72.592883
CT,Pawcatuck,41.455191,-71.895547
CT,Stamford,41.054082,-73.536216
CT,Stratford,41.207146,-73.130503
CT,Wolcott,41.598347,-72.980578
CT,Woodbridge,41.353296,-73.013981
DC,Washington,38.911936,-77.016719
DE,Greenville,39.779,-75.5983
DE,Wilmington,39.727113,-75.547844
FL,Boynton Beach,26.645895,-80.430269
FL,Dunedin,27.891809,-82.724763
FL,Gainesville,29.68041,-82.345739
